Coldwater Valve,Steam Valve,Level,Water flowrater,Temprature,
7.4258,5.8523,12.031,10.526,7.2379,0
7.4036,5.8617,12.027,10.526,7.2265,0
7.5067,6.2341,12.023,10.523,7.2118,0
7.5311,6.218,12.02,10.521,7.2063,0
7.4112,5.7723,12.017,10.525,7.2103,0
7.4126,5.8567,12.013,10.528,7.2066,0
7.5371,6.265,12.008,10.526,7.1963,0
7.5085,6.0579,12.005,10.523,7.1971,0
7.449,5.8484,12.002,10.522,7.2036,0
7.6954,6.6275,11.998,10.522,7.2026,0
7.7674,6.5822,11.996,10.521,7.2152,0
7.7667,6.3688,11.996,10.522,7.2456,0
7.5712,5.6648,11.995,10.524,7.2735,0
7.5918,5.8867,11.992,10.523,7.2813,0
7.6884,6.2265,11.99,10.521,7.2763,0
7.6364,5.9818,11.989,10.523,7.2804,0
7.5484,5.7303,11.987,10.525,7.2862,0
7.7745,6.5124,11.985,10.524,7.2812,0
7.4998,5.4704,11.986,10.527,7.2874,0
7.4838,5.6144,11.982,10.533,7.2875,0
7.6848,6.3123,11.979,10.535,7.269,0
7.6749,6.115,11.979,10.533,7.2677,0
7.7291,6.2168,11.978,10.529,7.2789,0
7.7462,6.1604,11.978,10.53,7.2905,0
7.6019,5.6512,11.977,10.53,7.3042,0
7.7981,6.3675,11.975,10.527,7.3057,0
7.7693,6.1079,11.976,10.528,7.3113,0
7.9286,6.5447,11.976,10.527,7.3261,0
7.7801,5.9107,11.979,10.521,7.3467,0
7.906,6.3541,11.979,10.522,7.3624,0
7.8515,6.0672,11.981,10.524,7.3737,0
7.7399,5.7413,11.983,10.524,7.3866,0
7.8864,6.3061,11.983,10.525,7.3854,0
7.9418,6.3775,11.986,10.523,7.3875,0
7.9081,6.1745,11.989,10.522,7.4022,0
7.9645,6.3273,11.992,10.524,7.4148,0
8.0437,6.4898,11.996,10.526,7.4262,0
7.7865,5.6007,12,10.526,7.444,0
7.7766,5.8098,12.002,10.525,7.4449,0
7.7878,5.9631,12.004,10.525,7.4286,0
7.9096,6.3957,12.006,10.522,7.4162,0
7.8412,6.0917,12.01,10.521,7.4158,0
7.7484,5.8406,12.013,10.523,7.4185,0
7.7672,6.0152,12.014,10.524,7.4098,0
7.8425,6.2791,12.016,10.523,7.3985,0
7.8144,6.1296,12.019,10.525,7.3962,0
7.8491,6.2507,12.021,10.522,7.3973,0
7.7463,5.9247,12.024,10.516,7.3988,0
7.7817,6.1391,12.025,10.515,7.395,0
7.8614,6.3852,12.027,10.516,7.388,0
7.918,6.476,12.03,10.516,7.3904,0
7.5823,5.3826,12.033,10.513,7.4013,0
7.6939,6.0567,12.032,10.511,7.3899,0
7.6588,5.9794,12.033,10.512,7.3675,0
7.8013,6.4731,12.034,10.512,7.355,0
7.6235,5.8146,12.036,10.512,7.3531,0
7.6641,6.0843,12.035,10.511,7.3483,0
7.6415,6.0391,12.036,10.51,7.3361,0
7.587,5.9107,12.035,10.512,7.3278,0
7.6303,6.1128,12.035,10.514,7.3162,0
7.5886,5.9893,12.034,10.511,7.3068,0
7.5441,5.9131,12.033,10.506,7.2994,0
7.629,6.2364,12.031,10.507,7.288,0
7.5707,5.9933,12.031,10.508,7.2823,0
7.6524,6.2755,12.029,10.508,7.2792,0
7.6103,6.0765,12.028,10.507,7.2789,0
7.5919,6.0312,12.027,10.507,7.2809,0
7.736,6.4878,12.025,10.506,7.2785,0
7.6872,6.1901,12.025,10.506,7.2854,0
7.6978,6.205,12.024,10.506,7.2966,0
7.568,5.7939,12.024,10.505,7.3028,0
7.6699,6.2304,12.022,10.506,7.2992,0
7.6068,5.9856,12.021,10.507,7.2952,0
7.6729,6.2316,12.02,10.508,7.2943,0
7.6104,5.9871,12.019,10.509,7.2942,0
7.6842,6.2557,12.018,10.509,7.2939,0
7.6997,6.2306,12.018,10.511,7.2949,0
7.677,6.1081,12.017,10.514,7.3014,0
7.6227,5.9445,12.017,10.514,7.3058,0
7.7161,6.2875,12.015,10.513,7.304,0
7.7075,6.1853,12.016,10.513,7.3057,0
7.7647,6.3302,12.015,10.513,7.3123,0
7.7653,6.2526,12.016,10.514,7.3207,0
7.8767,6.5481,12.016,10.514,7.331,0
7.7289,5.9594,12.018,10.515,7.3466,0
7.5593,5.5446,12.018,10.516,7.3554,0
7.7564,6.3671,12.017,10.517,7.341,0
7.7317,6.1886,12.018,10.516,7.3329,0
7.743,6.2082,12.019,10.516,7.3374,0
7.5474,5.595,12.019,10.518,7.3401,0
7.5711,5.8708,12.018,10.519,7.3293,0
7.3182,5.1766,12.017,10.521,7.3103,0
7.451,5.888,12.012,10.523,7.2795,0
7.3895,5.7017,12.01,10.523,7.2491,0
7.4253,5.8986,12.006,10.518,7.2298,0
7.4742,6.0345,12.003,10.518,7.2136,0
7.45,5.8874,12,10.52,7.2068,0
7.4203,5.7845,11.996,10.52,7.203,0
7.4646,5.9419,11.991,10.517,7.1965,0
7.4383,5.8226,11.987,10.514,7.1927,0
7.2089,5.1471,11.983,10.509,7.1907,0
7.4226,6.0444,11.976,10.505,7.1716,0
7.6051,6.4578,11.971,10.505,7.1572,0
7.2541,5.1396,11.968,10.504,7.1724,0
7.5377,6.2408,11.961,10.505,7.1713,0
7.4859,5.8643,11.958,10.505,7.1678,0
7.5785,6.1002,11.953,10.504,7.1795,0
7.5646,5.9173,11.95,10.504,7.1917,0
7.6073,5.9842,11.946,10.504,7.206,0
7.7191,6.2441,11.943,10.499,7.2191,0
7.7047,6.0305,11.941,10.497,7.2396,0
7.6651,5.8198,11.939,10.503,7.2615,0
7.6305,5.7204,11.937,10.501,7.2746,0
7.8104,6.2966,11.935,10.499,7.2798,0
7.7321,5.8617,11.935,10.502,7.2941,0
7.9232,6.4296,11.934,10.502,7.3111,0
7.7899,5.8011,11.936,10.503,7.3324,0
7.7782,5.8079,11.936,10.503,7.3517,0
7.8364,5.9992,11.936,10.505,7.3573,0
7.7958,5.8192,11.937,10.507,7.3648,0
7.8277,5.9397,11.938,10.505,7.3715,0
7.9002,6.1356,11.939,10.503,7.3763,0
7.7861,5.6964,11.941,10.504,7.387,0
7.9645,6.312,11.942,10.504,7.392,0
7.809,5.6778,11.946,10.505,7.4009,0
7.8889,6.0175,11.947,10.505,7.4083,0
7.8485,5.8593,11.949,10.502,7.4097,0
8.0068,6.3659,11.952,10.501,7.413,0
8.0288,6.2718,11.956,10.499,7.424,0
7.9146,5.8373,11.96,10.498,7.444,0
7.9067,5.8934,11.963,10.498,7.4528,0
7.9435,6.0564,11.966,10.496,7.4518,0
7.7625,5.5028,11.97,10.495,7.4531,0
7.8304,5.9128,11.971,10.494,7.4439,0
7.9241,6.2241,11.974,10.492,7.43,0
7.7998,5.7701,11.978,10.491,7.4301,0
8.0217,6.5382,11.98,10.491,7.4276,0
7.9227,6.0343,11.984,10.494,7.4331,0
7.8373,5.8087,11.988,10.492,7.4446,0
8.103,6.7201,11.99,10.489,7.4412,0
7.8422,5.6979,11.996,10.488,7.4516,0
8.0362,6.4802,11.998,10.484,7.4584,0
7.9182,6.0059,12.003,10.481,7.4605,0
8.0026,6.3413,12.007,10.482,7.4663,0
7.9523,6.1422,12.012,10.481,7.469,0
7.8226,5.7942,12.016,10.482,7.4731,0
7.9896,6.4614,12.019,10.484,7.4639,0
7.8623,5.9912,12.024,10.481,7.4603,0
7.8393,6.0269,12.027,10.483,7.4592,0
7.6925,5.6672,12.03,10.484,7.4488,0
7.8423,6.3326,12.031,10.483,7.429,0
7.8804,6.3839,12.035,10.484,7.415,0
7.802,6.093,12.038,10.484,7.4163,0
7.9433,6.5793,12.041,10.485,7.4143,0
7.8306,6.1251,12.045,10.483,7.4176,0
7.8206,6.1719,12.047,10.483,7.4213,0
7.8463,6.2956,12.05,10.484,7.4163,0
7.62,5.6273,12.052,10.482,7.4136,0
7.7208,6.2031,12.052,10.479,7.3974,0
7.6936,6.1391,12.054,10.479,7.3776,0
7.5928,5.8795,12.055,10.483,7.3669,0
7.733,6.4407,12.055,10.484,7.3499,0
7.716,6.2981,12.056,10.486,7.3402,0
7.5901,5.9019,12.057,10.488,7.3405,0
7.8346,6.7722,12.056,10.487,7.3309,0
7.5961,5.845,12.058,10.488,7.3324,0
7.4532,5.6008,12.057,10.486,7.3326,0
7.685,6.5394,12.055,10.485,7.3077,0
7.7113,6.4729,12.055,10.487,7.2955,0
7.6276,6.1409,12.055,10.486,7.3028,0
7.6361,6.2136,12.055,10.487,7.3042,0
7.7062,6.4266,12.054,10.491,7.3005,0
7.7603,6.5217,12.054,10.49,7.3031,0
7.7023,6.2492,12.055,10.494,7.3133,0
7.8361,6.668,12.054,10.496,7.3206,0
7.5455,5.6719,12.056,10.491,7.3318,0
7.4826,5.7442,12.054,10.493,7.3287,0
7.4726,5.89,12.052,10.499,7.3035,0
7.5932,6.359,12.05,10.5,7.2795,0
7.5566,6.1721,12.049,10.501,7.2687,0
7.54,6.1235,12.047,10.503,7.2656,0
7.4801,5.9499,12.045,10.507,7.2597,0
7.3285,5.5622,12.042,10.509,7.2499,0
7.3797,5.9076,12.037,10.513,7.2281,0
7.4555,6.1711,12.033,10.512,7.2052,0
7.4745,6.1758,12.03,10.507,7.1961,0
7.4643,6.093,12.027,10.506,7.1953,0
7.4217,5.9357,12.023,10.508,7.1952,0
7.5399,6.3105,12.018,10.51,7.1915,0
7.4493,5.9103,12.015,10.511,7.1942,0
7.4774,6.0332,12.011,10.511,7.1974,0
7.5631,6.2744,12.007,10.508,7.1961,0
7.4468,5.8197,12.004,10.506,7.2028,0
7.5322,6.1414,12,10.508,7.2054,0
7.4081,5.6892,11.996,10.51,7.2059,0
7.4925,6.04,11.991,10.512,7.2031,0
7.4194,5.7639,11.988,10.512,7.1989,0
7.5597,6.2316,11.983,10.514,7.196,0
7.4774,5.8383,11.98,10.515,7.1988,0
7.3694,5.5353,11.976,10.515,7.2042,0
7.4578,5.9105,11.971,10.517,7.1956,0
7.4759,5.9109,11.966,10.517,7.1883,0
7.4965,5.924,11.962,10.517,7.1895,0
7.6244,6.2521,11.958,10.516,7.1931,0
7.5472,5.8424,11.956,10.515,7.206,0
7.6881,6.2571,11.952,10.515,7.2187,0
7.6996,6.1132,11.95,10.516,7.2333,0
7.4235,5.1806,11.949,10.516,7.2543,0
7.5158,5.7164,11.944,10.513,7.252,0
7.6113,6.01,11.94,10.511,7.2391,0
7.6086,5.8962,11.938,10.512,7.2417,0
7.5978,5.8113,11.936,10.512,7.2496,0
7.7588,6.2646,11.933,10.514,7.2547,0
7.9081,6.5098,11.933,10.514,7.2691,0
7.6928,5.5944,11.934,10.515,7.3008,0
7.7813,5.9584,11.932,10.517,7.3197,0
7.8545,6.1281,11.932,10.512,7.3267,0
7.9613,6.3536,11.933,10.507,7.3428,0
7.8253,5.769,11.936,10.507,7.3672,0
7.9544,6.2218,11.936,10.508,7.3834,0
7.9184,5.9982,11.939,10.506,7.3961,0
7.9892,6.1954,11.941,10.507,7.4116,0
8.0075,6.1501,11.945,10.512,7.4261,0
7.9241,5.8445,11.948,10.51,7.443,0
8.0093,6.1766,11.951,10.507,7.4514,0
7.8354,5.5894,11.956,10.508,7.4585,0
7.9573,6.1209,11.958,10.509,7.4573,0
8.0634,6.3876,11.962,10.508,7.4537,0
8.0263,6.1469,11.967,10.507,7.4661,0
7.7581,5.3239,11.972,10.507,7.4798,0
7.8217,5.8081,11.974,10.506,7.4694,0
7.8268,5.8908,11.977,10.506,7.4487,0
7.7722,5.7739,11.98,10.504,7.4372,0
7.6905,5.6186,11.982,10.502,7.4249,0
7.8591,6.2675,11.983,10.499,7.4063,0
7.7625,5.8642,11.986,10.497,7.3985,0
7.7723,5.9445,11.987,10.499,7.3965,0
7.9256,6.4144,11.989,10.499,7.3896,0
7.853,6.0513,11.992,10.494,7.3955,0
7.5735,5.2379,11.994,10.488,7.4047,0
7.6291,5.7219,11.993,10.487,7.3878,0
7.6874,5.9891,11.993,10.485,7.3609,0
7.6496,5.8739,11.994,10.481,7.3478,0
7.8178,6.4187,11.994,10.481,7.3388,0
7.6778,5.8264,11.996,10.482,7.3412,0
7.6845,5.9308,11.995,10.48,7.344,0
7.6041,5.7065,11.995,10.482,7.3377,0
7.5941,5.7746,11.994,10.484,7.3277,0
7.6253,5.9447,11.993,10.478,7.3142,0
7.6587,6.0563,11.992,10.473,7.3053,0
7.6213,5.9051,11.991,10.474,7.3028,0
7.5474,5.7058,11.99,10.474,7.3005,0
7.6074,5.9691,11.988,10.476,7.2911,0
7.6458,6.0545,11.987,10.477,7.2834,0
7.5385,5.6834,11.985,10.475,7.284,0
7.4487,5.5097,11.983,10.474,7.2794,0
7.5994,6.1056,11.979,10.472,7.2628,0
7.7636,6.4938,11.978,10.472,7.2548,0
7.5677,5.6714,11.978,10.473,7.2696,0
7.4094,5.3003,11.975,10.473,7.2779,0
7.6447,6.2247,11.97,10.472,7.2608,0
7.673,6.1471,11.969,10.471,7.2539,0
7.4269,5.3008,11.968,10.473,7.2655,0
7.5115,5.7743,11.963,10.472,7.2592,0
7.6548,6.2119,11.96,10.469,7.2445,0
7.6235,5.9589,11.959,10.469,7.2486,0
7.5362,5.638,11.957,10.475,7.2587,0
7.4928,5.5719,11.954,10.475,7.2584,0
7.7088,6.3095,11.95,10.47,7.2495,0
7.6711,5.9858,11.949,10.47,7.255,0
7.6708,5.915,11.947,10.474,7.2703,0
7.6348,5.7771,11.946,10.471,7.2797,0
7.7944,6.2827,11.944,10.468,7.2844,0
7.9878,6.6791,11.944,10.471,7.2967,0
7.8212,5.8736,11.946,10.473,7.3298,0
7.7381,5.6701,11.946,10.471,7.356,0
7.7846,5.9198,11.946,10.468,7.3598,0
7.9305,6.3496,11.946,10.47,7.3606,0
7.8707,6.0025,11.949,10.474,7.3743,0
7.9168,6.137,11.95,10.473,7.39,0
7.9794,6.2699,11.953,10.472,7.4014,0
7.9312,6.0265,11.956,10.474,7.4175,0
8.0663,6.426,11.959,10.48,7.4305,0
7.9711,5.9912,11.963,10.482,7.4468,0
8.0153,6.1812,11.967,10.478,7.4613,0
8.0062,6.1322,11.971,10.476,7.4695,0
7.9525,5.9708,11.976,10.478,7.478,0
8.0753,6.4051,11.98,10.48,7.4802,0
7.9809,6.0258,11.985,10.479,7.487,0
8.1054,6.466,11.99,10.481,7.4934,0
8.0011,6.0512,11.996,10.481,7.5011,0
8.0657,6.3229,12.001,10.482,7.5076,0
7.9276,5.8786,12.007,10.483,7.5105,0
8.0127,6.291,12.011,10.482,7.5072,0
7.9833,6.1874,12.017,10.482,7.5018,0
7.8001,5.6831,12.022,10.481,7.501,0
7.9692,6.4218,12.025,10.482,7.4859,0
7.8083,5.8673,12.03,10.482,7.4743,0
7.9642,6.4975,12.033,10.483,7.465,0
7.8363,6.0192,12.038,10.483,7.4584,0
7.6446,5.5592,12.041,10.483,7.4544,0
7.6712,5.9141,12.042,10.482,7.4298,0
7.7323,6.2068,12.044,10.481,7.4006,0
7.7162,6.1516,12.046,10.482,7.3841,0
7.6677,6.0401,12.047,10.479,7.3742,0
7.6572,6.079,12.048,10.478,7.3622,0
7.5466,5.7942,12.048,10.479,7.3491,0
7.3999,5.5038,12.047,10.479,7.3308,0
7.4529,5.8966,12.044,10.481,7.2994,0
7.6302,6.498,12.042,10.476,7.2697,0
7.4355,5.7585,12.042,10.474,7.2625,0
7.5154,6.1363,12.038,10.475,7.2547,0
7.836,7.061,12.036,10.477,7.2419,0
7.6794,6.2199,12.037,10.477,7.2594,0
7.6747,6.2066,12.036,10.477,7.2824,0
7.5371,5.7897,12.035,10.476,7.2898,0
7.6396,6.2602,12.032,10.473,7.2856,0
7.8197,6.7634,12.031,10.471,7.2807,0
7.6471,6.0195,12.032,10.476,7.296,0
7.7949,6.5523,12.031,10.478,7.3072,0
7.8461,6.5805,12.031,10.477,7.3151,0
7.89,6.5787,12.033,10.485,7.3342,0
7.8374,6.303,12.035,10.491,7.3551,0
7.9044,6.5169,12.036,10.491,7.3704,0
7.6646,5.7334,12.038,10.49,7.3834,0
7.7813,6.3271,12.038,10.491,7.381,0
7.9583,6.8271,12.04,10.497,7.372,0
7.6686,5.761,12.044,10.499,7.3848,0
7.7969,6.3833,12.044,10.501,7.3858,0
7.9388,6.7608,12.046,10.506,7.377,0
7.6827,5.821,12.049,10.51,7.3883,0
7.6763,6.0123,12.05,10.511,7.3882,0
7.659,6.0613,12.05,10.513,7.3714,0
7.6009,5.9718,12.051,10.512,7.3569,0
7.6645,6.2769,12.051,10.51,7.3406,0
7.5485,5.8977,12.051,10.516,7.3288,0
7.4347,5.6841,12.05,10.516,7.3157,0
7.4065,5.7906,12.047,10.514,7.2904,0
7.5912,6.4506,12.045,10.519,7.2617,0
7.5188,6.0868,12.044,10.519,7.2507,0
7.6679,6.5587,12.041,10.515,7.249,0
7.6231,6.2561,12.041,10.514,7.2534,0
7.5537,6.0196,12.039,10.514,7.2632,0
7.6401,6.3323,12.037,10.514,7.263,0
7.5948,6.1231,12.036,10.514,7.2645,0
7.5704,6.0771,12.034,10.51,7.2679,0
7.4604,5.7866,12.032,10.508,7.266,0
7.6002,6.3364,12.029,10.51,7.2554,0
7.5877,6.1965,12.027,10.513,7.2499,0
7.6288,6.2845,12.025,10.516,7.2537,0
7.6698,6.3327,12.024,10.519,7.2587,0
7.6256,6.1207,12.023,10.519,7.268,0
7.6558,6.216,12.021,10.52,7.2747,0
7.6127,6.0471,12.02,10.521,7.2791,0
7.6295,6.1287,12.018,10.521,7.2814,0
7.5542,5.9002,12.017,10.52,7.2816,0
7.4571,5.6878,12.015,10.52,7.2776,0
7.648,6.3957,12.012,10.523,7.263,0
7.6908,6.3724,12.011,10.524,7.2589,0
7.631,6.0717,12.01,10.526,7.2708,0
7.7184,6.3361,12.009,10.527,7.2785,0
7.826,6.5545,12.008,10.527,7.2868,0
7.7444,6.1391,12.009,10.528,7.3061,0
7.7346,6.1182,12.009,10.527,7.3222,0
7.6179,5.7788,12.009,10.526,7.3286,0
7.6692,6.0771,12.008,10.523,7.3249,0
7.4051,5.2885,12.007,10.524,7.3181,0
7.6315,6.2584,12.004,10.528,7.2979,0
7.6319,6.1425,12.004,10.528,7.2812,0
7.7404,6.419,12.003,10.529,7.2828,0
7.7694,6.3445,12.003,10.533,7.2916,0
7.6896,5.9926,12.003,10.534,7.3073,0
7.6888,6.0245,12.002,10.533,7.3157,0
7.7134,6.1148,12.002,10.53,7.317,0
7.5452,5.5926,12.002,10.528,7.3196,0
7.5579,5.8206,12,10.524,7.3116,0
7.6153,6.0649,11.998,10.522,7.2955,0
7.5863,5.9397,11.997,10.524,7.288,0
7.6608,6.1747,11.996,10.526,7.2839,0
7.8099,6.5335,11.995,10.529,7.284,0
7.5089,5.4238,11.996,10.528,7.2992,0
7.6033,5.9459,11.993,10.526,7.2995,0
7.5189,5.685,11.992,10.526,7.2871,0
7.6828,6.281,11.989,10.523,7.2777,0
7.7426,6.3282,11.989,10.52,7.2765,0
7.7994,6.3653,11.989,10.519,7.2902,0
7.6392,5.7514,11.989,10.519,7.3084,0
7.6236,5.8135,11.988,10.519,7.3149,0
7.7177,6.1468,11.986,10.523,7.3087,0
7.764,6.2175,11.986,10.52,7.3094,0
7.599,5.6493,11.987,10.516,7.3192,0
7.6241,5.8692,11.985,10.515,7.3181,0
7.7302,6.2186,11.984,10.515,7.3086,0
7.7997,6.3161,11.984,10.518,7.3102,0
7.7309,5.9765,11.985,10.521,7.3231,0
7.6772,5.8323,11.985,10.519,7.3326,0
7.5759,5.5989,11.984,10.515,7.3318,0
7.5368,5.6223,11.983,10.515,7.3207,0
7.6797,6.1549,11.981,10.517,7.3031,0
7.5786,5.7503,11.981,10.515,7.2969,0
7.7349,6.2927,11.979,10.512,7.2943,0
7.5677,5.6352,11.979,10.512,7.2967,0
7.7819,6.3844,11.977,10.515,7.2968,0
7.706,5.9604,11.978,10.515,7.3012,0
7.6727,5.8625,11.977,10.512,7.3129,0
7.7451,6.1157,11.976,10.509,7.3148,0
7.8684,6.4258,11.976,10.505,7.3191,0
7.9079,6.3734,11.978,10.504,7.3356,0
7.8863,6.1822,11.98,10.504,7.3589,0
7.7954,5.8689,11.981,10.505,7.3778,0
7.8113,5.9996,11.982,10.504,7.3846,0
7.7201,5.7469,11.984,10.504,7.3852,0
7.8415,6.2229,11.984,10.506,7.3803,0
7.9229,6.3948,11.986,10.504,7.3792,0
7.8798,6.1452,11.989,10.503,7.3917,0
7.9266,6.2688,11.991,10.506,7.4035,0
7.7832,5.7718,11.995,10.509,7.4131,0
7.9189,6.3134,11.996,10.51,7.4135,0
8.0071,6.497,11.999,10.508,7.4141,0
7.9458,6.1899,12.004,10.506,7.4293,0
8.0539,6.5319,12.007,10.504,7.4424,0
7.8633,5.848,12.012,10.503,7.456,0
7.8803,6.0581,12.015,10.506,7.4601,0
7.8612,6.0603,12.018,10.506,7.4523,0
8.005,6.555,12.021,10.506,7.4461,0
7.8732,6.0429,12.026,10.505,7.4501,0
7.9158,6.2737,12.03,10.504,7.4532,0
7.8342,6.0205,12.034,10.507,7.4501,0
7.776,5.9452,12.037,10.508,7.4448,0
7.8345,6.2366,12.039,10.509,7.4314,0
7.8177,6.1888,12.042,10.508,7.4216,0
7.6989,5.8709,12.045,10.505,7.4165,0
7.7209,6.0913,12.046,10.504,7.4033,0
7.8262,6.4532,12.048,10.506,7.3872,0
7.6871,5.9496,12.051,10.507,7.3835,0
7.6888,6.0803,12.051,10.506,7.3776,0
7.5233,5.641,12.052,10.505,7.3644,0
7.6148,6.1408,12.051,10.503,7.3429,0
7.5375,5.9134,12.051,10.502,7.3222,0
7.6001,6.1953,12.05,10.503,7.3067,0
7.6056,6.192,12.049,10.502,7.2943,0
7.6068,6.1856,12.048,10.5,7.289,0
7.5004,5.85,12.047,10.502,7.2855,0
7.5992,6.2582,12.045,10.503,7.2754,0
7.6106,6.2374,12.044,10.501,7.2678,0
7.4569,5.7466,12.042,10.499,7.269,0
7.414,5.7729,12.039,10.498,7.2599,0
7.3637,5.7359,12.035,10.498,7.2402,0
7.5928,6.5344,12.031,10.499,7.2189,0
7.3916,5.721,12.03,10.501,7.2152,0
7.5824,6.4188,12.025,10.502,7.2129,0
7.445,5.8428,12.023,10.502,7.2117,0
7.5303,6.1734,12.019,10.502,7.2133,0
7.4579,5.8771,12.016,10.505,7.2117,0
7.3877,5.715,12.012,10.504,7.2109,0
7.5627,6.3404,12.007,10.501,7.2008,0
7.3982,5.6948,12.004,10.5,7.2007,0
7.4827,6.0479,11.999,10.503,7.2004,0
7.457,5.9098,11.995,10.504,7.1955,0
7.6264,6.4154,11.991,10.505,7.1953,0
7.4953,5.8182,11.989,10.507,7.2053,0
7.4355,5.6867,11.985,10.507,7.2147,0
7.5139,5.9952,11.98,10.508,7.2094,0
7.5621,6.0878,11.977,10.506,7.207,0
7.6492,6.2599,11.974,10.507,7.2135,0
7.6316,6.0594,11.972,10.508,7.2276,0
7.6025,5.9185,11.969,10.507,7.2427,0
7.7083,6.2286,11.967,10.508,7.2512,0
7.7906,6.3401,11.966,10.51,7.2632,0
7.8523,6.3661,11.965,10.511,7.2849,0
7.8787,6.3056,11.966,10.508,7.3111,0
7.7299,5.7553,11.967,10.508,7.337,0
7.7433,5.9028,11.966,10.509,7.3482,0
7.7355,5.9062,11.966,10.512,7.3483,0
7.6726,5.7415,11.967,10.513,7.3487,0
7.712,5.9465,11.966,10.512,7.3442,0
7.4665,5.2029,11.966,10.513,7.3394,0
7.4828,5.5165,11.964,10.516,7.3212,0
7.504,5.6764,11.961,10.518,7.2927,0
7.6037,5.9986,11.959,10.52,7.2734,0
7.7178,6.245,11.958,10.518,7.2667,0
7.5988,5.7164,11.957,10.515,7.2759,0
7.5643,5.6551,11.955,10.513,7.2819,0
7.5619,5.6985,11.953,10.511,7.2766,0
7.8321,6.5328,11.951,10.509,7.2702,0
7.8118,6.1886,11.951,10.504,7.2838,0
7.6544,5.6156,11.952,10.498,7.3101,0
7.8072,6.1869,11.95,10.495,7.3181,0
7.6767,5.667,11.951,10.495,7.3248,0
